caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
1,UNTCOK / UNCURK,Korea,CSA,CSA,UN,.,"UNGA Res. 112 (II) (November 14, 1947); UNGA Res. 293 (IV) (October 21 1949)",,OBSR,OBSR,UNUN,UNUN,1947,1947,1950 June,2.6,31,31,,,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
2,UNSCOB / UNPOC,Greece,EUR,EUR,UN,.,"UNGA Res. 109(II) (October 21, 1947), UNGA Res. 508 (VI) (December 7, 1951)",,OBSR,OBSR,UNUN,UNUN,1947,1947,1954 August,6.8,82,82,35,35,2,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
3,UNCIP,India Pakistan,CSA,CSA,UN,.,"UNSC Res. 39 (S/654) (January 20, 1948)",1,OBSR,OBSR,UNUN,UNUN,1948,1948,1949 January,0.5,6,6,,,0,UN-6,2,UN-6,0,0,1,1,0,0,0,http://www.un.org/en/peacekeeping/operations/early.shtml,before 1992,Up until 1991,0
4,UNTSO,Israel Egypt Syria Lebanon Jordan,MENA,MENA,UN,.,"UNSC Res. 50 (S/801), (May 29,1948)",1,OBSR,OBSR,UNUN,UNUN,1948,1948,ongoing,.,.,,375,375,49,UN-6,2,UN-6,0,0,1,1,0,0,1,,before 1992,Up until 1991,0
5,UNMOGIP,India Pakistan,CSA,CSA,UN,.,"UNSC Res. 47 (S/726) (April 21, 1948)",1,OBSR,OBSR,UNUN,UNUN,1949,1949,ongoing,.,.,,113,113,11,UN-6,2,UN-6,0,0,1,1,0,0,1,,before 1992,Up until 1991,0
6,Korean War,Korea,CSA,CSA,UN,.,"UNSC Res. 83 (June 27, 1950)",1,KEEP,KEEP,UNUN,UNUN,1950,1950,1953 July,3.1,37,37,.,,100000,UN-7,3,UN-7,1,1,1,1,0,0,0,,before 1992,Up until 1991,0
7,UNEF I,Egypt Israel,MENA,MENA,UN,.,"UNGA Res. 1000 (EF-I) (November 5, 1956)",1,KEEP,KEEP,UNUN,UNUN,1956,1956,1967 June,10.6,127,127,5977,5977,110,UN-6,2,UN-6,0,0,1,1,0,0,0, (Franck 2004: 36),before 1992,Up until 1991,0
8,UNOGIL,Lebanon,MENA,MENA,UN,.,"UNSC Res. 128 (June 11, 1958)",1,OBSR,OBSR,UNUN,UNUN,1958,1958,1958 December,0.5,6,6,591,591,0,UN-6,2,UN-6,0,0,1,1,1,1,0,(Pogany 1987: 71),before 1992,Up until 1991,0
9,ONUC,Congo-Kinshasa/Zaire/DRC,SSA,SSA,UN,.,"UNSC Res. 145 (July 22, 1960); UNSC Res. 161 (February 21, 1961); UNSC Res. 169 (November 24, 1961)",,KEEP,KEEP,UNUN,UNUN,1960,1960,1964 June,3.9,47,47,19828,19828,250,UN-7,3,UN-7,1,1,1,1,1,1,0,"http://www.un.org/en/peacekeeping/missions/past/onucM.htm, (Sloan2011) (Boulden 2001: 24) (Mays 2011: 206)",before 1992,Up until 1991,0
10,UNSF,West New Guinea,PAC,PAC,UN,.,"UNGA Res. 1752 (September 21, 1962)",1,KEEP,KEEP,UNUN,UNUN,1962,1962,1963 April,0.5,6,6,1576,1576,0,UN-6,2,UN-6,0,0,1,1,0,0,0, (Mays 2011: 344),before 1992,Up until 1991,0
11,UNYOM,North Yemen,MENA,MENA,UN,.,"UNSC Res. 179 (June 11, 1963)",1,OBSR,OBSR,UNUN,UNUN,1963,1963,1964 September,1.2,14,14,189,189,0,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011:,before 1992,Up until 1991,0
12,UNFICYP,Cyprus,EUR,EUR,UN,.,"UNSC Res. 186 (March 4, 1964)",1,KEEP,KEEP,UNUN,UNUN,1964,1964,ongoing,.,.,,1313,1313,178,UN-6,2,UN-6,0,0,1,1,1,1,1,(Koops et al 2015),before 1992,Up until 1991,0
13,DOMREP,Dominican Republic,LAC,LAC,UN,.,"UNSC Res. 203 (May 14, 1965)",,OBSR,OBSR,UNUN,UNUN,1965,1965,1966 October,1.4,17,17,2,2,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
14,UNIPOM,India Pakistan,CSA,CSA,UN,.,"UNSC Res. 211 (September 20, 1965)",1,OBSR,OBSR,UNUN,UNUN,1965,1965,1966 March,0.5,6,6,96,96,0,UN-6,2,UN-6,0,0,1,1,0,0,0,http://www.un.org/en/peacekeeping/missions/past/unipombackgr.html,before 1992,Up until 1991,0
15,UNEF II,Egypt Israel,MENA,MENA,UN,.,"UNSC Res. 340 (October 25, 1973); UNSC Res. 341 (October 27, 1973)",1,KEEP,KEEP,UNUN,UNUN,1973,1973,1979 July,5.8,69,69,3987,3987,52,UN-6,2,UN-6,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
16,UNDOF,Syria Israel (Golan Heights),MENA,MENA,UN,.,"UNSC Res. 350 (May 31, 1974)",1,KEEP,KEEP,UNUN,UNUN,1974,1974,ongoing,.,.,,1048,1048,43,UN-6,2,UN-6,0,0,1,1,0,0,0, (Mays 2011: 11),before 1992,Up until 1991,0
17,UNIFIL I,Lebanon,MENA,MENA,UN,.,"UNSC Res. 425 (March 19, 1978); UNSC Res. 426 (March 19, 1978)",1,KEEP,KEEP,UNUN,UNUN,1978,1978,ongoing,.,.,,13572,13572,278,UN-6,2,UN-6,0,0,1,1,0,0,1,,before 1992,Up until 1991,0
18,UNIIMOG,Iran Iraq,MENA,MENA,UN,.,"UNSC Res. 619 (August 9, 1988); UNSC Res. 671 (September 27, 1990)",1,OBSR,OBSR,UNUN,UNUN,1988,1988,1991 February,2.5,30,30,400,400,1,UN-6,2,UN-6,0,0,1,1,0,0,0,,before 1992,Up until 1991,0
19,UNGOMAP,Afghanistan,CSA,CSA,UN,.,"UNSC Res. 622 (October 31, 1988)",1,OBSR,OBSR,UNUN,UNUN,1988,1988,1990 March,1.8,22,22,50,50,0,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011: 284),before 1992,Up until 1991,0
20,Long Term Mission to Serbia,Serbia,EUR,EUR,OSCE,1,,1,OTHER,OTHER,RORO,RORO,2001,2001,ongoing,.,.,,,,,NUN,1,NUN,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
21,UNAVEM I,Angola,SSA,SSA,UN,.,"UNSC Res. 626 (December 20, 1988)",1,OBSR,OBSR,UNUN,UNUN,1989,1989,1991 June,2.4,29,29,70,70,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
22,ONUCA,Central America,LAC,LAC,UN,.,"UNSC Res. 644 (November 7, 1989)",1,OBSR,OBSR,UNUN,UNUN,1989,1989,1992 January,2.2,26,26,1098,1098,1,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
23,UNIKOM,Iraq Kuwait,MENA,MENA,UN,.,"UNSC Res. 678 (November 29, 1990); UNSC 689 (April 9, 1991)",0,OBSR,OBSR,UNUN,UNUN,1991,1991,2003 October,12.5,150,150,1323,1323,18,UN-7,3,UN-7,1,1,1,1,0,0,1,(Mays 2011: 294),before 1992,Up until 1991,0
24,MINURSO,Western Sahara Morocco,MENA,MENA,UN,.,"UNSC Res. 690 (April 29, 1991)",1,OTHER,OTHER,UNUN,UNUN,1991,1991,ongoing,.,.,,548,548,15,UN-6,2,UN-6,0,0,1,1,1,1,1,(Mays 2011: 298),before 1992,Up until 1991,0
25,1st gulf war,Iraq Kuwait,MENA,MENA,UN,.,"678 UNSC Res. 678 (November 29, 1990)",0,ENFO,ENFO,UNIS,UNIS,1991,1991,1991 March,0.2,2,2,660000,660000,.,UN-7,3,UN-7,1,1,1,1,0,0,0,(Findlay 2002: 124),before 1992,Up until 1991,0
26,ONUSAL,El Salvador,LAC,LAC,UN,.,"UNSC Res. 693 (May 20, 1991); Peace Agreement between the Government of El Salvador and Frente Farabundo Martí para la Liberación Nacional",1,KEEP,KEEP,UNUN,UNUN,1991,1991,1995 April,3.8,45,45,719,719,5,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011: 315),before 1992,Up until 1991,0
27,UNAVEM II,Angola,SSA,SSA,UN,.,"UNSC Res. 696 (May 30, 1991), Ceasefire Agreement ",,OBSR,OBSR,UNUN,UNUN,1991,1991,1995 February,3.7,44,44,476,476,5,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
28,UNAMIC,Cambodia,SEA,SEA,UN,.,"UNSC Res. 717 (October 16, 1991) 728",1,OBSR,OBSR,UNUN,UNUN,1991,1991,1992 March,0.4,5,5,1090,1090,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,Up until 1991,0
29,UNOSOM I,Somalia,SSA,SSA,UN,.,"UNSC Res. 751 (April 24, 1992); UNSC Res. 794 (December 3, 1992); Ceasefire Agreement (March 3, 1992)",1,KEEP,KEEP,UNUN,UNUN,1992,1992,1993 March,0.9,11,11,947,947,6,UN-7,3,UN-7,1,1,1,1,1,1,0,(Mays 2011: 8),before 1992,From 1992 onwards,0
30,ONUMOZ,Mozambique,SSA,SSA,UN,.,"UNSC Res. 797 (December 16, 1992)",1,OBSR,OBSR,UNUN,UNUN,1992,1992,1994 Dezember,2,24,24,7663,7663,26,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,From 1992 onwards,0
31,UNPROFOR,Bosnia and Herzegovina,EUR,EUR,UN,.,"UNSC Res. 743 (February 21, 1992)",1,KEEP,KEEP,UNUN,UNUN,1992,1992,1995 December,3.8,46,46,38599,38599,213,UN-6,2,UN-6,0,0,1,1,1,1,0,,before 1992,From 1992 onwards,0
32,UNTAC,Cambodia,SEA,SEA,UN,.,"UNSC Res. 745 (February 28, 1992)",1,KEEP,KEEP,UNUN,UNUN,1992,1992,1993 September,0.9,11,11,19350,19350,82,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011: 265),before 1992,From 1992 onwards,0
33,UNOMIG,Georgia,EURA,EURA,UN,.,"UNSC Res. 858 (August 24, 1993); UNSC Res. S/RES/1866 (February 13, 2009)",1,OBSR,OBSR,UNUN,UNUN,1993,1993,2009 June,16,191,191,249,249,11,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
34,UNOMUR,Uganda Rwanda,SSA,SSA,UN,.,"UNSC Res. 846 (June 22, 1993)",1,OBSR,OBSR,UNUN,UNUN,1993,1993,1994 September,1.3,15,15,81,81,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
35,UNOSOM II,Somalia,SSA,SSA,UN,.,"UNSC Res. 814 (March 26, 1993), UNSC Res. 837 (June 6, 1993)",,ENFO,ENFO,UNUN,UNUN,1993,1993,1995 March,2,24,24,28000,28000,154,UN-7,3,UN-7,1,1,1,1,1,1,0, (Mays 2011: 11),after 1992,From 1992 onwards,1
36,UNAMIR,Rwanda,SSA,SSA,UN,.,"UNSC Res. 872 (October 5, 1993) 918",1,KEEP,KEEP,UNUN,UNUN,1993,1993,1996 March,2.4,29,29,2548,2548,27,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
37,MNF,Haiti,LAC,LAC,UN,.,"UNSC Res. 867 (September 23, 1993) UNSC Res. 940 (July 31, 1994); UNSC Res. 975 (January 30, 1995)",1,KEEP,KEEP,UNIS,UNIS,1993,1993,1996 June,2.8,33,33,6903,6903,9,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
38,UNOMIL,Liberia,SSA,SSA,UN,.,"UNSC Res. 866 (September 22, 1993), Cotonou Peace Agreement 1993",1,OBSR,OBSR,UNUN,UNUN,1993,1993,1997 September,4,48,48,303,303,0,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
39,UNMOT,Tajikistan,EURA,EURA,UN,.,"UNSC Res. 968 (December 16, 1994)",,OBSR,OBSR,UNUN,UNUN,1994,1994,2000 May,5.4,65,65,81,81,7,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
40,UNASOG,Chad Lybia,SSA,SSA,UN,.,"UNSC Res. 915 (May 4, 1994)",1,OBSR,OBSR,UNUN,UNUN,1994,1994,1994 June,0.1,1,1,9,9,0,UN-6,2,UN-6,0,0,1,1,0,0,0,,after 1992,From 1992 onwards,1
41,UNPOS,Somalia,SSA,SSA,UN,.,"UNSC Res. 1863 (January 16, 2009)",1,OBSR,OBSR,UNUN,UNUN,1995,1995,2013 June,13.4,161,161,17,17,0,UN-7,3,UN-7,1,1,1,1,0,0,0,,after 1992,From 1992 onwards,1
42,UNMIBH,Bosnia and Herzegovina,EUR,EUR,UN,.,"UNSC Res. 1035 (December 21, 1995); 1423 (July 12, 2002)",1,OTHER,OTHER,UNUN,UNUN,1995,1995,2002 December,7,84,84,2057,2057,12,UN-6,2,UN-6,1,1,1,1,1,1,1,,after 1992,From 1992 onwards,1
43,UNAVEM III,Angola,SSA,SSA,UN,.,"UNSC Res. 976 (February 8, 1995)",1,KEEP,KEEP,UNUN,UNUN,1995,1995,1997 June,2.3,28,28,4220,4220,36,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
44,UNPREDEP,Macedonia,EUR,EUR,UN,.,"UNSC Res. 983 (March 31, 1995)",1,KEEP,KEEP,UNUN,UNUN,1995,1995,1999 February,3.9,47,47,1110,1110,4,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011: 337),after 1992,From 1992 onwards,1
