country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Afghanistan,,,,,,4,3,92,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,75,283,360,352,382,294,236,368,153,287,563,1048,2154,1873,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,660,521,235,288,116,176,252,361,391,16194
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,4,79
Albania,20,10,11,21,22,132,98,42,47,129,62,74,46,11,7,140,74,161,265,297,250,330,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,4,1,5,2773
Algeria,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1077,1512,1853,1358,1280,1231,575,533,242,135,370,320,455,735,1035,20,20,182,295,83,37,98,370,408,542,249,195,242,159,340,509,1529,1075,834,1126,663,362,616,896,2899,962,1253,140,31096
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,242,184,105,146,111,155,241,379,576,482,531,705,1186,965,152,140,,,122,111,1,44,7,149,358,147,156,148,48,8,39,7,31,29,20,,,,31,2,47,142,108,270,166,8489
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,146,430,223,248,369,396,236,450,260,494,198,447,451,445,867,421,1322,685,450,229,224,71,14,169,,27,14,209,43,28,105,172,276,213,6,15,11,169,3,9,24,23,11,11,15,3,12,7,21,17,43,25,53,12161
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,916
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,383,528,900,694,764,450,828,240,319,60,701,884,96,81,268,1019,191,404,449,131,633,626,515,819,592,743,693,352,213,365,449,262,64,597,35,542,673,338,1236,663,801,472,459,727,677,445,777,1511,1559,868,236,919,1464,1025,1671,1575,1399,41110
Austria,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,102,135,103,22,22,6,12,,8,72,195,73,97,145,13,28,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,69,42,56,24,4,269,190,286,7,8,8,6,2,1,13,8,4,14,3731
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,155,557,339,404,612,335,274,275,322,25,4072
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,163
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,9,,299,28,54,1,10,66,63,26,20,,103,1,26,72,1,17,26,28,65,16,2665
